All,Tot
"Admin session lifetime must be greater than or equal to 60 seconds","La durada de la sessió d’administració ha de ser superior o igual a 60 segons"
Order,Comanda
"Order #%1","Comanda #%1"
"Sorry, you need permissions to view this content.","Ho sentim, necessiteu permisos per visualitzar aquest contingut."
"Next steps","Propers passos"
"If you think this is an error, try signing out and signing in again.","Si creieu que es tracta d’un error, proveu de tancar la sessió i tornar a iniciar la sessió."
"Contact a system administrator or store owner to gain permissions.","Poseu-vos en contacte amb un administrador del sistema o el propietari de la botiga per obtenir permisos."
"Return to ","Tornar a "
"previous page","pàgina anterior"
"Welcome, please sign in","Benvinguts, inicieu la sessió"
Username,"Nom d'usuari"
"user name","nom d'usuari"
Password,Contrasenya
password,contrasenya
"Sign in","Iniciar sessió"
"Select Range:","Seleccioneu Interval:"
"No Data Found","No s'han trobat dades"
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","El gràfic està desactivat. Per activar el gràfic, feu clic a <a href=""%1"">aquí</a>."
"Last Orders","Últimes Comandes"
"Last Search Terms","Últims Termes de Cerca"
"Top Search Terms","Termes de cerca principals"
"There are no search keywords.","No hi ha paraules clau de cerca."
"View Statistics For:","Veure les estadístiques per:"
"All Websites","Tots els Llocs Web"
"Reload Data","Recarregar Dades"
"Browse Files...","Explorar fitxers..."
"Copyright &copy; %1 Magento Commerce Inc. All rights reserved.","Copyright &copy; %1 Magento Commerce Inc. Tots els drets reservats."
"Magento Admin Panel","Panell d'Administració Magento"
"Account Setting","Configuració del Compte"
"Customer View","Vista de Client"
"Sign Out","Tancar la sessió"
"About the calendar","Sobre el calendari"
"Go Today","Ves a avui"
Previous,Anterior
Next,Següent
WK,Setmana
Time,Temps
Hour,Hora
Minute,Minut
"JavaScript may be disabled in your browser.","JavaScript pot estar desactivat al vostre navegador."
"To use this website you must first enable JavaScript in your browser.","Per utilitzar aquest lloc web, primer heu d’habilitar JavaScript al navegador."
"This is only a demo store. You can browse and place orders, but nothing will be processed.","Això només és una botiga de demostració. Podeu navegar i fer comandes, però no es processarà res."
"Report an Issue","Informeu d'un problema"
"Store View:","Vista de Botiga:"
"Stores Configuration","Configuració de Botigues"
"Please confirm scope switching. All data that hasn't been saved will be lost.","Si us plau, confirmeu el canvi d'abast. Tota la informació no gravada es perdrà."
"Additional Cache Management","Gestió Addicional de Memòria Cau"
"Flush Catalog Images Cache","Netejar Memòria Cau del Catàleg d'Imatges"
"Pregenerated product images files","Fitxers d'imatges de producte pregenerats"
"Flush JavaScript/CSS Cache","Neteja memòria cau JavaScript/CSS"
"Themes JavaScript and CSS files combined to one file","Els fitxers JavaScript i CSS del tema seran combinats en un sol fitxer"
"Flush Static Files Cache","Netejar Memòria Cau de fitxers estàtics"
"Preprocessed view files and static files","Fitxers preprocessats de visualització i fitxers estàtics"
Catalog,Catàleg
"JavaScript/CSS Cache","Memòria Cau JavaScript/CSS"
"No records found.","No s'han trobat resultats."
Images,Imatges
"Big Image","Imatge gran"
Thumbnail,Miniatura
"Additional Settings","Configuració addicional"
"records found","registres trobats"
selected,seleccionat
"per page","per pàgina"
"Previous page","Pàgina anterior"
"of %1","de %1"
"Next page","Pàgina següent"
"Export to:","Exporta a:"
"Mass Actions","Accions massives"
"Unselect All","Deselecciona-ho tot"
"Select Visible","Selecciona Visible"
"Unselect Visible","Deselecciona Visible"
"Changes have been made to this section that have not been saved.","S'han fet canvis a aquesta secció que no s'han desat."
"This tab contains invalid data. Please resolve this before saving.","Aquesta pestanya conté dades no vàlides. Si us plau, resoleu això abans de desar."
"The information in this tab has been changed.","La informació d'aquesta pestanya ha canviat."
Loading...,Carregant...
"We could not detect a size.","No hem pogut detectar una mida."
"We don't recognize or support this file extension type.","No reconeixem o donem suport a aquest tipus d'extensió de fitxer."
"Warning message","Missatge d'advertència"
"This operation can take a long time","Aquesta operació pot durar molt de temps"
"Allow everything","Permet-ho tot"
"Global Search","Cerca global"
Marketing,Màrqueting
"SEO & Search","SEO i Cerca"
"User Content","Contingut de l’usuari"
Content,Contingut
Design,Disseny
Schedule,Planificació
"Content translation","Traducció de contingut"
Settings,Configuració
Attributes,Atributs
"Other Settings","Altres configuracions"
"Data Transfer","Transferència de dades"
"Connect Manager","Gestor de Magento Connect"
"Package Extensions","Extensions de paquet"
Tools,Eines
"Clean Cache Actions","Netejar Memòria Cau d'Accions"
"Cache Types Management","Gestió de Tipus de Memòria Cau"
"Toggle Cache Type","Commuta el Tipus de Memòria Cau"
"Refresh Cache Type","Actualitzar Tipus de Memòria Cau"
"Catalog Images Cache","Memòria Cau d’Imatges del Catàleg"
"Flush Js/Css","Neteja Js/Css"
"Flush Static Files","Neteja Fitxers Estàtics"
"Web Setup Wizard","Assistent de Configuració Web"
Currency,Moneda
Communications,Comunicacions
Services,Serveis
Advanced,Avançat
"Disable Modules Output","Desactiva la sortida dels mòduls"
"Store Email Addresses","Adreces de correu electrònic de la botiga"
"Custom Email 1","Correu electrònic personalitzat 1"
"Sender Email","Correu electrònic del remitent"
"Sender Name","Nom del remitent"
"Custom Email 2","Correu electrònic personalitzat 2"
"General Contact","Contacte General"
"Sales Representative","Representant de vendes"
"Customer Support","Atenció al client"
Developer,Desenvolupador
"Enabled Template Path Hints for Storefront","Suggeriments de ruta de plantilla activats per l'Storefront"
"Enabled Template Path Hints for Admin","Suggeriments de ruta de plantilla activats per a l'administrador"
"Add Block Names to Hints","Afegeix noms de bloc als suggeriments"
"Template Settings","Configuració de la plantilla"
"Allow Symlinks","Permetre Symlinks"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Avís! No es recomana l'activació d'aquesta funció en entorns de producció perquè representa un risc potencial per a la seguretat."
"Minify Html","Minimitzar l’Html"
"Minification is not applied in developer mode.","La minimització no s'aplica en mode de desenvolupador."
"Translate Inline","Tradueix en línia"
"Enabled for Storefront","Habilitat per aparador"
"Enabled for Admin","Habilitat per Admin"
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.","La traducció, els blocs i altres memòries cau de sortida haurien d’estar desactivats tant per a les traduccions en línia com per l'aparador de la botiga i l’administrador."
"JavaScript Settings","Configuració JavaScript"
"Merge JavaScript Files","Combinar fitxers JavaScript"
"Enable JavaScript Bundling","Activar l'agrupació JavaScript"
"Minify JavaScript Files","Minimitzar fitxers JavaScript"
"CSS Settings","Configuració CSS"
"Merge CSS Files","Combinar fitxers CSS"
"Minify CSS Files","Minimitzar fitxers CSS"
"Image Processing Settings","Configuració de processament d'imatges"
"Image Adapter","Adaptador d'imatge"
"Static Files Settings","Configuració de fitxers estàtics"
"Sign Static Files","Signar fitxers estàtics"
"Country Options","Opcions de país"
"Allow Countries","Permet països"
"Default Country","País predeterminat"
"European Union Countries","Països de la Unió Europea"
"Top destinations","Principals destinacions"
"Locale Options","Opcions de configuració regional"
Timezone,"Fus horari"
Locale,"Configuració regional"
"First Day of Week","Primer dia de la setmana"
"Weekend Days","Dies del cap de setmana"
"Store Name","Nom de la botiga"
"Store Phone Number","Desar número de telèfon"
"Store Hours of Operation","Horari de la botiga"
Country,País
Region/State,Regió/Estat
"ZIP/Postal Code","Codi Postal"
City,Ciutat
"Street Address","Carrer de l'adreça"
"Street Address Line 2","Línia 2 del carrer de l'adreça"
"VAT Number","Número d'IVA"
"Single-Store Mode","Mode de botiga única"
"Enable Single-Store Mode","Activar mode de botiga única"
"This setting will not be taken into account if system has more than one store view.","Aquesta configuració no es tindrà en compte si el sistema té més d’una vista de botiga."
"Mail Sending Settings","Configuració d'enviament de correu"
"Disable Email Communications","Desactivar comunicacions per correu electrònic"
"Set Return-Path","Establir el camí de retorn"
"Return-Path Email","Correu electrònico de camí de retorn"
"Admin User Emails","Adreces de correu d’usuari administrador"
"Forgot Password Email Template","Plantilla de Contrasenya de correu electrònic oblidada"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correu electrònic escollida en funció del recurs de recuperació del tema quan s'ha seleccionat l'opció ""Predeterminat""."
"Forgot and Reset Email Sender","Remitent de Heu oblidat i restablit el correu electrònic"
"Startup Page","Pàgina d'inici"
"Admin Base URL","URL base d'administració"
"Use Custom Admin URL","Utilizar URL d'administració personalitzada"
"Custom Admin URL","URL d'administració personalitzada"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Assegureu-vos que l'URL base finalitzi amb '/' (barra), per exemple. http://elvostredomini/magento/"
"Use Custom Admin Path","Utilizar ruta d'administració personalitzada"
"Custom Admin Path","Ruta d'administració personalitzada"
"You will have to sign in after you save your custom admin path.","Haureu d’iniciar la sessió un cop desada la vostra ruta d’administració personalitzada."
Security,Seguretat
"Recovery Link Expiration Period (hours)","Període de caducitat de l'enllaç de recuperació (hores)"
"Please enter a number 1 or greater in this field.","Si us plau, introduïu un número igual o més gran que 1 en aquest camp."
"Add Secret Key to URLs","Afegiu clau secreta a les URL"
"Login is Case Sensitive","L’inici de sessió és sensible a majúscules i minúscules"
"Admin Session Lifetime (seconds)","Durada de la sessió Admin (segons)"
"Please enter at least 60 and at most 31536000 (one year).","Introduïu com a mínim 60 i com a màxim 31536000 (un any)."
"Enable Charts","Habilitar Gràfiques"
"Url Options","Opcions d`URL"
"Add Store Code to Urls","Afegeix el codi de botiga a les Url"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color: red"">Advertència!</strong> Quan s'utilitza el codi de botiga a la URL, en alguns casos el sistema pot no funcionar correctament si s'especifiquen URL sense codis de botiga als serveis de tercers (per exemple, PayPal, etc.)."
"Auto-redirect to Base URL","Redirecció automàtica a l'URL base"
"Search Engine Optimization","Optimització del Motor de Cerca"
"Use Web Server Rewrites","Utilitza les reescriptures del servidor web"
"Base URLs","URLs Base"
"Base URL","URL Base"
"Base Link URL","Enllaç URL Base"
"Base URLs (Secure)","URLs Base (Segures)"
"Secure Base URL","URL Base Segura"
"Secure Base Link URL","Enllaç URL Base Segura"
"Use Secure URLs on Storefront","Utilitzeu URLs Segures a l'Aparador"
"Use Secure URLs in Admin","Utilitzeu URLs Segures a Admin"
"Default Pages","Pàgines per Defecte"
"Default Web URL","URL Web per Defecte"
"Default No-route URL","URL Sense-ruta per Defecte"
"Validate REMOTE_ADDR","Valida REMOTE_ADDR"
"Validate HTTP_VIA","Valida HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Valida HTTP_X_FORWARDED_FOR"
"Validate HTTP_USER_AGENT","Valida HTTP_USER_AGENT"
"Use SID on Storefront","Utilitzar SID a l'Aparador"
"Cache Type","Tipus de Memòria Cau"
Description,Descripció
Tags,Etiquetes
"Community Edition","Edició Comunitària"
"Default Theme","Tema Per Defecte"
"Applied Theme","Tema aplicat"
"Design Rule","Regla de Disseny"
"User Agent Rules","Regles d'Agent d'Usuari"
Pagination,Paginació
"Pagination Frame","Marc de Paginació"
"Pagination Frame Skip","Ometre el Marc de Paginació"
"Anchor Text for Previous","Text d'ancoratge per a Anterior"
"Alternative text for the next pages link in the pagination menu. If empty, default arrow image is used.","Text alternatiu per a l'enllaç de pàgines següents al menú de paginació. Si està buit, s’utilitza la imatge de fletxa per defecte."
"Anchor Text for Next","Text d'ancoratge per a Següent"
"Theme Name","Nom del Tema"
"Access denied","Accés denegat"
"Please try to sign out and sign in again.","Si us plau, prova de tancar la sessió i torna a iniciar."
"If you continue to receive this message, please contact the store owner.","Si continueu rebent aquest missatge, contacti amb el propietari de la botiga."
"You need more permissions to access this.","Necessites més permisos per accedir aquí."
"Report Bugs","Informa d'errors"
"Design Theme","Tema de Disseny"
"User-Agent Exceptions","Excepcions d'User-Agent"
"Search String","Cerca Cadena"
"Page not found.","Pàgina no trobada."
"Maximum Width","Amplada Màxima"
"Maximum allowed width for uploaded image.","Amplada màxima permesa per a la imatge carregada."
"Maximum Height","Alçada Màxima"
"If no value is specified, the system default is used. The system default may be modified by third-party extensions.","Si no s’especifica cap valor, s’utilitza el valor predeterminat del sistema. El valor per defecte del sistema es pot modificar mitjançant extensions de tercers."
label,etiqueta
"Enable Frontend Resize","Activar redimensionat d'interfície"
"Invalid security or form key. Please refresh the page.","Clau de seguretat o de formulari invàlida. Si us plau, refresqueu la pàgina."
"Save &amp; Continue","Desa &amp; Continua"
"Save &amp; Close","Desa &amp; Tanca"
"Save &amp; New","Desa &amp; Nou"
"Parameter Value","Valor del paràmetre"
"System Backup","Còpia de seguretat del sistema"
"Database and Media Backup","Còpia de seguretat de bases de dades i multimèdia"
"Database Backup","Còpia de seguretat de bases de dades"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","L’arxiu es pot descomprimir amb <a href=""%1"">%2</a> en sistemes Windows."
"You need more permissions to activate maintenance mode right now.","Ara necessiteu més permisos per activar el mode de manteniment."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Per crear la còpia de seguretat, deseleccioneu ""Posar botiga en mode de manteniment"" o actualitzeu els vostres permisos."
"Something went wrong while putting your store into maintenance mode.","Alguna cosa ha anat malament mentre es posava la botiga en mode de manteniment."
"You need more free space to create a backup.","Necessiteu més espai lliure per crear una còpia de seguretat."
"You need more permissions to create a backup.","Necessites més permisos per crear una còpia de seguretat."
"We can't create the backup right now.","No es pot crear la còpia de seguretat ara mateix."
Backups,"Còpies de seguretat"
Backup,"Còpia de seguretat"
"We can't delete one or more backups.","No es poden eliminar una o més còpies de seguretat."
failed,"ha fallat"
successful,correcte
"You deleted the selected backup(s).","Has esborrat la/les còpia/còpies seleccionada/es."
"Can't load snapshot archive","No es pot carregar la vista de l'arxiu"
"Please correct the password.","Si us plau corregiu la contrasenya."
"We can't find the backup file.","No trobem l'arxiu de còpies de seguretat."
"We can't connect to the FTP right now.","No es pot conectar a l'FTP ara mateix."
"Failed to validate FTP.","Error en la validació de l'FTP."
"Failed to rollback.","Error en fer la reversió o rollback."
Database,"Base de dades"
"Database and Media","Base de dades i Contingut Multimèdia"
"We can't save the Cron expression.","No es pot guardar l'expressió de Cron."
"Backup Name","Nom de la Còpia de Seguretat"
"Maintenance mode","Mode de manteniment"
Exclude,Excloure
"User Password","Paraula Clau de l'Usuari"
"Use FTP Connection","Utilitzar Connexió FTP"
"FTP credentials","Credencials FTP"
"FTP Host","Servidor FTP"
"FTP Login","Usuari FTP"
"FTP Password","Paraula clau FTP"
"Magento root directory","Directori arrel de Magento"
"Create Backup","Crear Còpia de Seguretat"
"Backup Type","Tipus de Còpia de Seguretat"
Frequency,Freqüència
"Maintenance Mode","Mode de manteniment"
Time,Hora
Size(bytes),"Mida (bytes)"
Type,Tipus
Download,Descarregar
"Enable Backup","Habilitar Còpia de Seguretat"
"Save and Continue Edit","Desa i continua editant"
"Default Content","Contenido predeterminat"
"No Default Content","No hi ha contingut predeterminat"
"Store View Specific Content","Contingut específic per a la Vista de Botiga"
"Use Default","Usa el predeterminat"
"Related Promotions","Promocions relacionades"
Rule,Norma
"Start Date","Data d'inici"
"End Date","Data de finalització"
Active,Actiu
Inactive,Inactiu
"Applies To","S'aplica a"
Visibility,Visibilitat
Delete,Suprimeix
Position,Posició
"You deleted %1 record(s).","Heu eliminat %1 registre(s)."
"Please enter a name.","Si us plau, introduïu un nom."
"-- None --","-- Cap --"
Footer,"Peu de pàgina"
Header,Capçalera
"Left Column","Columna Esquerra"
"Right Column","Columna Dreta"
"Dynamic Blocks","Blocs Dinàmics"
"Add Dynamic Block","Afegir Bloc Dinàmic"
"Save Dynamic Block","Guardar Bloc Dinàmic"
"Delete Dynamic Block","Esborrar Bloc Dinàmic"
"New Dynamic Block","Nou Bloc Dinàmic"
"Are you sure you want to do this?","Esteu segurs que voleu fer això?"
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","Alguna cosa ha fallat mentre s'eliminaven les dades del bloc dinàmic. Si us plau, reviseu el registre d’accions i torneu-ho a provar."
"Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.","Alguna cosa ha fallat mentre s'eliminaven massivament les dades del blocs dinàmics. Si us plau, reviseu el registre d’accions i torneu-ho a provar."
"Status Label","Etiqueta d'Estat"
"General Information","Informació General"
Back,Tornar
Cancel,Cancel·lar
"Add Selected","Afegir Seleccionat"
Remove,Esborrar
"All Segments","Tots els segments"
"Customer Segment","Segment del client"
"Allowed Credit Card Types","Tipus de targeta de crèdit permesos"
"Add Rule","Afegir una norma"
"Braintree Settlement Report","Informe de liquidació de Braintree"
"Sorry, but something went wrong","Ho sentim, però alguna cosa ha anat malament"
"We can't initialize checkout.","No es pot iniciar el procés de compra."
"No authorization transaction to proceed capture.","No hi ha cap transacció d'autorització per realitzar la captura."
"Transaction is successful.","Transacció exitosa."
"Braintree error response.","Resposta d’error Braintree."
"Payment method nonce can't be retrieved.","El mètode de pagament nonce no es pot recuperar."
"Wrong transaction status","Estat de transacció incorrecte"
Authorize,Autoritzar
"Credit Card","Targeta de crèdit"
ending,fi
expires,caduca
PayPal,Paypal
"Please agree to all the terms and conditions before placing the order.","Si us plau, accepteu els termes i condicions abans de realitzar la comanda."
"Transaction was failed.","La transacció ha fallat."
"Please, enter valid Credit Card Number","Introduïu un número de targeta de crèdit vàlid si us plau"
"Please, enter valid Expiration Date","Si us plau, introduïu una data de caducitat vàlida"
"Please, enter valid Card Verification Number","Introduïu un número de verificació de targeta de crèdit vàlid si us plau"
"Are you sure you want to delete this PayPal account","Esteu segur que voleu suprimir aquest compte de PayPal"
"PayPal Account","Compte de PayPal"
"Credit Card Information","Informació de la Targeta de Crèdit"
"Save for later use.","Desar per utilitzar-lo més tard."
"This payment is not available","Aquest pagament no està disponible"
YY,AA
"Please try again with another form of payment.","Si us plau, torneu-ho a provar amb una altra forma de pagament."
"Sorry, but something went wrong.","Ho sentim, però alguna cosa ha anat malament."
"Payment ","Pagament "
"Credit card type is not accepted by this merchant account.","Tipus de targeta de crèdit no acceptat pel compte del venedor."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","La transacció només es pot anul·lar si el seu estat és autoritzat, presentat, o esperant PayPal."
"Credit transactions cannot be refunded.","Les transaccions de crèdit no es poden reemborsar."
"Cannot refund a transaction unless it is settled.","No es pot reemborsar una transacció tret que es resolgui."
"Cannot submit for settlement unless status is authorized.","No es pot enviar a la liquidació a menys que estigui autoritzat."
"Customer does not have any credit cards.","El client no té cap targeta de crèdit."
"Transaction has already been completely refunded.","La transacció ja s'ha retornat completament."
"Payment instrument type is not accepted by this merchant account.","Instrument de pagament no acceptat pel compte del venedor."
"Processor authorization code cannot be set unless for a voice authorization.","No es pot establir el codi d'autorització del processador tret que es tracti d'una autorització de veu."
"Refund amount is too large.","L’import de la devolució és massa gran."
"Settlement amount is too large.","L’import de la liquidació és massa gran."
"Cannot provide a billing address unless also providing a credit card.","No es pot proporcionar una adreça de facturació, tret que també proporcioneu una targeta de crèdit."
"Payment Action","Operació de Pagament"
"Public Key","Clau Pública"
"Private Key","Clau Privada"
Debug,Depurar
"Sort Order",Ordre
"Skip Order Review","Saltar la revisió de la comanda"
"Dynamic Descriptors","Descripcions Dinàmiques"
Phone,Telèfon
"CVV is required.","El CVV és obligatori."
"Expiration date is required.","Cal indicar la data de caducitat."
"Credit card number is required.","Cal indicar el número de la targeta de crèdit."
"Company is too long.","El nom de la companyia és massa llarga."
"First name is too long.","El nom és massa llarg."
"Last name is too long.","El cognom és massa llarg."
"Locality is too long.","La localitat és massa llarga."
"Postal code is required.","El codi postal és obligatori."
"Region is too long.","La regió és massa llarga."
"Street address is required.","Cal indicar l'adreça."
"Street address is too long.","L'adreça és massa llarga."
Select...,Seleccionar...
"Transaction Type","Tipus de Transacció"
"Payment Type","Tipus de Pagament"
"PayPal Payment ID","ID de Pagament PayPal"
"Order ID","ID de Comanda"
Amount,Quantitat
Month,Mes
Year,Any
"Stored Card","Targeta emmagatzemada"
"Credit card successfully deleted","Targeta de crèdit esborrada satisfactòriament"
"Edit Credit Card","Editar Targeta de Crèdit"
"My Credit Cards","Les Meves Targetes de Crèdit"
"New Credit Card","Nova Targeta de Crèdit"
"We can't place the order.","No es pot fer la comanda."
"Incorrect payment method.","Mètode de pagament incorrecte."
"We can't initialize checkout review.","No es pot inicialitzar la revisió del procés de compra."
"We can't update shipping method.","No es pot actualitzar el mètode d'enviament."
"Please try again later","Si us plau, torneu-ho a provar més tard"
Invoice,Factura
Shipment,Enviament
"some error","algun error"
"* Required Fields","* Camps obligatoris"
"Billing Address","Adreça de facturació"
Company,Empresa
Address,Adreça
State/Province,Estat/Província
"Zip/Postal Code","Codi Postal"
"Card Number","Número de la targeta"
"Capture action","Capturar l'acció"
"Use Vault","Utilitzar Contenidor"
"Allow Duplicate Cards","Permetre targetes duplicades"
"Enable Credit Card auto-detection on Storefront","Permetre l'auto-detecció de targeta de crèdit en la botiga"
"Your Kount ID","Identificador Kount"
"Use Cache","Utilitzar memòria cau"
"Pay with PayPal","Pagar amb PayPal"
"Paypal account","Compte de PayPal"
"Europe bank account","Compte bancari Europeu"
"Credit card","Targeta de crèdit"
Authorizing,Autoritzant
Authorized,Autoritzat
Failed,"Ha fallat"
Sale,Venda
Credit,Crèdit
"-- Select --","-- Seleccionar --"
Dynamic,Dinàmic
Fixed,Fix
"Create New Option","Crear Nova Opció"
"Delete Option","Eliminar Opció"
Delete,Esborrar
"Use Default Value","Utilitzar Valor per Defecte"
"Price Range","Interval de Preus"
Together,Junts
Separately,"Per separat"
"We can't add this item to your shopping cart right now.","No es pot afegir aquest article a la cistella ara mateix."
N/A,N/D
Percent,Percentatge
"Add Option","Afegir Opció"
"New Option","Nova Opció"
"Default Title","Títol per defecte"
Required,Obligatori
"Default Quantity","Quantitat Per Defecte"
"Price Type","Tipus de Preu"
Quantity:,Quantitat:
Default,"Per defecte"
Ordered,Demanat
Invoiced,Facturat
Shipped,Enviat
Canceled,Cancel·lat
To,A
"Customize and Add to Cart","Personalitza i afegeix"
"Your Customization",Personalització
Availability,Disponibilitat
"In stock","En estoc"
"Out of stock","Sense estoc"
Availability:,Disponibilitat:
"Customize %1","Personalitza %1"
"No options of this product are available.","Opcions no disponibles."
From:,"Des de:"
To:,A:
Message:,Missatge:
"Product Name","Nom del Producte"
"Discount Amount","Import de Descompte"
"Row Total","Suma de la fila"
"Qty Invoiced","Quantitat facturada"
"Qty Shipped","Quantitat enviada"
"""option_id"" and ""parent_id"" values should be specified","S'han d'especificar els valors ""option_id"" i ""parent_id"""
"""sku"" value should be specified","S'ha d'especificar el valor ""sku"""
Always,Sempre
"After number of attempts to login","Després d'un nombre d'intents d'inici de sessió"
"Provided form does not exist","Formulari no existent"
"Incorrect CAPTCHA","CAPTCHA incorrecte"
"Incorrect CAPTCHA.","CAPTCHA incorrecte."
"The account is locked. Please wait and try again or contact %1.","Compte bloquejat. Espereu i torneu a provar o contacteu a %1."
"Please enter the letters and numbers from the image","Introduïu les lletres i nombres de la imatge"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Atenció</strong>: Captcha és sensible a majúscules i minúscules."
"Reload captcha","Recarregar captcha"
"Please type the letters and numbers below","Introduïu les lletres i nombres si us plau"
"Attention: Captcha is case sensitive.","Atenció: Captcha és sensible a majúscules i minúscules."
"Enable CAPTCHA in Admin","Habilita CAPTCHA a Admin"
Font,"Tipus de lletra"
Forms,Formularis
"Displaying Mode","Mode de visualització"
"Number of Unsuccessful Attempts to Login","Nombre d'intents d'inici de sessió erronis"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Si es posa 0, CAPTCHA sempre estarà disponible a l'inici de sessió."
"CAPTCHA Timeout (minutes)","Temps d'espera (minuts) del CAPTCHA"
"Number of Symbols","Nombre de símbols"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Especifiqueu 8 símbols com a màxim. Rang permès (e.g. 3-5)"
"Symbols Used in CAPTCHA","Símbols utilitzats al CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Utilitzeu només lletres (a-z or A-Z) o nombres (0-9) en aquest cap. No es permeten espais o altre caràcters.<br />Caràcters similars (e.g. ""i"", ""l"", ""1"") disminueixen el correcte reconeixement per l'usuari."
"Case Sensitive","Sensible a majúscules i minúscules"
"Enable CAPTCHA on Storefront","Habilitar CAPTCHA a la botiga"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA per als formularis ""Crear usuari"" i ""Contrasenya oblidada"" està sempre activat si s'escull."
Root,Arrel
"Use All Available Attributes","Utilitzar tots els atributs disponibles"
"Add Subcategory","Afegir subcategoria"
"Add Root Category","Afegir categoria arrel"
Day,Dia
[WEBSITE],"[PÀGINA WEB]"
"WYSIWYG Editor","Editor WYSIWYG"
"Add Product","Afegir producte"
"Product Attributes","Atributs de producte"
"Add New Attribute","Afegir atribut"
"Save Attribute","Desar atribut"
"Save and Continue Edit","Desar i Continuar Editant"
"Delete Attribute","Esborrar Atribut"
"New Product Attribute","Nou Atribut de Producte"
"Attribute Code","Codi d'Atribut"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Això s'utilitza internament. Assegureu-vos que no utilitzeu espais ni més de %1 símbols."
"Default Value","Valor per defecte"
"Unique Value","Valor Únic"
Gallery,Galeria
"System Properties","Propietats del Sistema"
"Data Type for Saving in Database","Tipus de Dades per a l'Emmagatzematge a la Base de Dades"
Static,Estàtic
Integer,Enter
Searchable,Cercable
"Add New","Afegir Nou"
Empty,Buit
"Close Window","Tanca la finestra"
"New Product","Nou Producte"
"Save & Edit","Desar i Editar"
"Save & New","Desar i Nou"
"Save & Duplicate","Desar i Duplicar"
"Save & Close","Desar i Tancar"
Change,Canvi
"Advanced Inventory","Inventari Avançat"
Websites,"Llocs Web"
"Products Information","Informació dels Productes"
"Create Category","Crear Categoria"
"Category Name","Nom de la Categoria"
"Parent Category","Categoria Superior"
"Subscribe Date","Data de subscripció"
"Subscribe to RSS Feed","Subscriviu-vos al canal RSS"
"Manage Categories","Gestionar Categories"
"New Attribute Set","Nou Conjunt d'Atributs"
"New Set","Nou Conjunt"
"Manage Product Sets","Gestionar Conjunt de Productes"
"1 item","1 element"
"%1 items","%1 articles"
Grid,Graella
List,Llista
"Product is not loaded","El producte no s'ha carregat"
"Products only","Només productes"
"-- Please select --","-- Si us plau, seleccioneu --"
Top/Left,Adalt/Esquerra
Top/Right,Adalt/Dreta
Category,Categoria
"%1 and above","%1 i superior"
"Invalid option id %1","ID d'opció %1 invàlida"
"Use config","Utilitza configuració"
"The text is too long.","El text és massa llarg."
"Catalog, Search","Cerca, Catàleg"
test,prova
message,missatge
"Shop By","Compra per"
"Shopping Options","Opcions de compra"
"Compare Products","Comparar Productes"
"You have no items to compare.","No tens articles per comparar."
"Remove This Item","Treure aquest element"
"Clear All","Neteja tot"
"We can't find products matching the selection.","No podem trobar productes que coincideixin amb la selecció."
"Items %1-%2 of %3","Articles %1-%2 de %3"
"%1 Items","%1 Articles"
"Set Ascending Direction","Fixar Direcció Ascendent"
"Set Descending Direction","Fixar Direcció Descendent"
"More Information","Més Informació"
Adding...,Afegint...
Added,Afegit
"Lifetime of products in Recently Viewed Widget","Durada dels productes al Widget ""Vist recentment"""
"Lifetime of products in Recently Compared Widget","Durada dels productes al Widget ""Comparat recentment"""
Template,Plantilla
"Cache Lifetime (Seconds)","Durada de la memòria cau (segons)"
"UI Component","Component UI"
Image,Imatge
"Buttons to show","Botons a mostrar"
"Add to Wishlist","Afegir a la Llista de Desitjos"
"Category Information","Informació de Categoria"
"Enable Category","Habilitar Categoria"
"Include in Menu","Incloure en Menú"
"Category Image","Imatge de Categoria"
"Add CMS Block","Afegir Bloc CMS"
"Display Settings","Mostrar Configuració"
